X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-0.0115600000,0.0000010000
484,-0.080000,-0.020000,,
485,-0.080000,-0.018000,,
486,-0.080000,-0.016400,,
487,-0.080000,-0.016800,,
488,-0.080000,-0.018000,,
489,-0.080000,-0.019200,,
490,-0.080000,-0.019200,,
491,-0.080000,-0.020000,,
492,-0.080000,-0.018000,,
493,-0.080000,-0.018800,,
494,-0.080000,-0.020400,,
495,-0.080000,-0.018000,,
496,-0.080000,-0.018000,,
497,-0.080000,-0.019200,,
498,-0.080000,-0.018000,,
499,-0.080000,-0.018000,,
500,-0.080000,-0.018000,,
501,-0.080000,-0.016800,,
502,-0.080000,-0.016400,,
503,-0.080000,-0.018800,,
504,-0.080000,-0.020000,,
505,-0.080000,-0.017600,,
506,-0.080000,-0.017600,,
507,-0.080000,-0.019200,,
508,-0.080000,-0.018000,,
509,-0.080000,-0.020000,,
510,-0.080000,-0.020000,,
511,-0.080000,-0.018000,,
512,-0.080000,-0.018800,,
513,-0.080000,-0.019200,,
514,-0.080000,-0.020000,,
515,-0.080000,-0.017600,,
516,-0.080000,-0.020000,,
517,-0.080000,-0.020000,,
518,-0.080000,-0.019200,,
519,-0.080000,-0.021600,,
520,-0.080000,-0.017600,,
521,-0.080000,-0.018000,,
522,-0.080000,-0.021200,,
523,-0.080000,-0.019200,,
524,-0.160000,-0.020400,,
525,-0.160000,-0.020000,,
526,-0.080000,-0.019200,,
527,-0.160000,-0.018000,,
528,-0.160000,-0.021600,,
529,-0.160000,-0.021200,,
530,-0.160000,-0.019200,,
531,-0.160000,-0.020400,,
532,-0.160000,-0.018800,,
533,-0.160000,-0.019200,,
534,-0.160000,-0.020400,,
535,-0.160000,-0.018000,,
536,-0.160000,-0.020000,,
537,-0.160000,-0.021200,,
538,-0.160000,-0.020000,,
539,-0.160000,-0.019200,,
540,-0.160000,-0.020000,,
541,-0.160000,-0.018000,,
542,-0.160000,-0.019200,,
543,-0.160000,-0.021600,,
544,-0.160000,-0.020400,,
545,-0.160000,-0.017600,,
546,-0.160000,-0.020400,,
547,-0.160000,-0.021200,,
548,-0.160000,-0.021600,,
549,-0.160000,-0.022400,,
550,-0.160000,-0.019200,,
551,-0.160000,-0.020000,,
552,-0.160000,-0.018800,,
553,-0.160000,-0.019200,,
554,-0.160000,-0.022400,,
555,-0.160000,-0.020000,,
556,-0.160000,-0.020000,,
